date,open,close,low,high,volume
2023-01-30,29.4,28.91,28.82,29.45,7223416.0
2023-01-31,29.5,29.1,29.08,29.97,12389389.0
2023-02-01,30.0,29.83,29.22,30.3,12556601.0
2023-02-02,30.1,30.35,29.75,30.67,15688552.0
2023-02-03,30.38,31.56,30.3,31.7,21736490.0
2023-02-06,31.93,32.04,31.35,32.3,21355549.0
2023-02-07,32.57,33.83,32.5,34.61,39873288.0
2023-02-08,34.21,33.1,33.0,34.89,20606867.0
2023-02-09,33.0,35.18,32.25,35.46,36872470.0
2023-02-10,35.2,34.95,34.35,36.88,46895778.0
2023-02-13,35.29,35.98,34.83,36.38,33537941.0
2023-02-14,35.58,35.15,34.79,36.45,28198434.0
2023-02-15,34.86,35.78,34.6,36.65,34029218.0
2023-02-16,35.53,35.04,34.7,36.6,25396158.0
2023-02-17,34.83,33.35,33.17,34.89,28433285.0
2023-02-20,33.4,34.2,33.3,34.28,17724119.0
2023-02-21,34.2,33.72,33.53,34.41,11523183.0
2023-02-22,33.57,33.7,33.38,34.33,10989088.0
2023-02-23,33.55,33.5,33.35,33.94,7605910.0
2023-02-24,33.77,34.87,33.77,35.38,26228747.0
2023-02-27,34.76,34.58,34.39,35.27,12327370.0
2023-02-28,35.88,35.5,35.01,36.78,27987011.0
2023-03-01,35.51,35.91,35.3,36.5,26757604.0
2023-03-02,35.8,36.62,35.66,37.77,31634951.0
2023-03-03,35.67,35.43,35.08,36.34,27396267.0
2023-03-06,35.25,35.57,35.25,36.48,19342203.0
2023-03-07,35.31,34.41,34.37,35.8,18415205.0
2023-03-08,34.5,34.63,34.0,34.97,14643564.0
2023-03-09,34.31,34.43,33.98,34.92,11646616.0
2023-03-10,34.05,34.32,33.96,35.1,14109847.0
2023-03-13,34.21,34.76,33.74,35.17,17362003.0
2023-03-14,34.43,33.55,33.55,35.35,23481801.0
2023-03-15,33.86,32.86,32.72,34.18,18357081.0
2023-03-16,32.63,32.63,32.36,33.23,11881195.0
2023-03-17,32.88,34.61,32.8,35.45,27024099.0
