date,open,high,low,close,volume
2023-02-07,84565.620110771,84616.35948283745,84514.88073870452,84565.620110771,8456.562
2023-02-08,84565.620110771,84616.35948283745,84106.3790057841,84156.8731296619,8047.815
2023-02-09,84156.8731296619,84803.08738990976,84106.3790057841,84752.2360482808,9011.0502
2023-02-10,84752.2360482808,85256.89513701093,84701.38470665182,85205.77167400652,8928.7592
2023-02-13,85205.77167400652,86528.5184710542,85154.64821100212,86476.63249155927,9791.438
2023-02-14,86476.63249155927,87021.04138073325,86424.74651206433,86968.86006469444,9139.8908
2023-02-15,86968.86006469444,87697.64745113962,86916.67874865561,87645.0604148907,9373.0864
2023-02-16,87645.0604148907,90865.05052409467,87592.47337864176,90810.56418558332,11930.0098
2023-02-17,90810.56418558332,90925.224804824,90756.07784707197,90870.70238339397,9141.1946
2023-02-20,90870.70238339397,91336.18657046217,90816.17996196394,91281.41771983028,9497.7856
2023-02-21,91281.41771983028,91422.1180757111,91226.64886919838,91367.29769709284,9214.0217
2023-02-22,91367.29769709284,91422.1180757111,90010.00154124004,90064.03996521917,7833.472
2023-02-23,90064.03996521917,90118.0783891983,89076.64728753908,89130.12536275673,8072.4894
2023-02-24,89130.12536275673,89183.60343797438,87422.45180967971,87474.93677174277,7257.8239
2023-02-27,87474.93677174277,87527.42173380581,86212.05217433973,86263.81046061609,7536.3674
2023-02-28,86263.81046061609,86315.56874689246,85153.89007851975,85205.01308637157,7567.5837
2023-03-01,85205.01308637157,85925.33051207563,85153.89007851975,85873.80622833862,9189.2945
2023-03-02,85873.80622833862,86673.10365665129,85822.28194460162,86621.13097806447,9334.7054
2023-03-03,86621.13097806447,86705.95895972197,86569.15829947763,86653.96657977412,8694.9487
2023-03-06,86653.96657977412,87550.14984328883,86601.97419982625,87497.65125253731,9509.0813
2023-03-07,87497.65125253731,88127.17069168488,87445.15266178579,88074.32609602727,9326.44
2023-03-08,88074.32609602727,88127.17069168488,86399.96465762299,86451.83575907844,7184.9423
2023-03-09,86451.83575907844,86503.70686053389,85321.96245870307,85373.18637052539,7566.5342
2023-03-10,85373.18637052539,85424.4102823477,84880.4271459912,84931.38597757775,8095.5182
2023-03-13,84931.38597757775,84982.3448091643,84780.95204432616,84831.85115501918,8393.6038
2023-03-14,84831.85115501918,85724.24183035234,84780.95204432616,85672.83812747586,9324.1721
2023-03-15,85672.83812747586,85724.24183035234,85238.19329217597,85289.36691232337,8183.8126
2023-03-16,85289.36691232337,85340.54053247075,85159.72746473504,85210.85397712133,8450.4238
2023-03-17,85210.85397712133,86472.71391644326,85159.72746473504,86420.8613996035,9731.0928
2023-03-20,86420.8613996035,88406.95980421029,86369.00888276374,88353.94743574885,10575.1722
2023-03-21,88353.94743574885,88502.0901535101,88300.9350672874,88449.02074106547,8930.468
2023-03-22,88449.02074106547,89236.12985808705,88395.95132862082,89182.6202859155,9578.5016
2023-03-23,89182.6202859155,90525.44371017428,89129.11071374395,90471.16101356615,10206.8028
2023-03-24,90471.16101356615,92226.6363258987,90416.878316958,92171.33352578324,10747.2886
2023-03-27,92171.33352578324,94410.65176653078,92116.03072566776,94354.03934292503,11399.8392
2023-03-28,94354.03934292503,95017.74017710323,94297.42691931926,94960.76371887191,10042.1283
2023-03-29,94960.76371887191,95332.9105477217,94903.78726064059,95275.7451006613,9811.0578
2023-03-30,95275.7451006613,95332.9105477217,95137.8672101012,95194.98420062158,9446.8136
2023-03-31,95194.98420062158,95265.53844697138,95137.8672101012,95208.41339893203,9532.9276
2023-04-03,95208.41339893203,98276.44318282045,95151.28835089266,98217.51267521533,12529.9406
2023-04-04,98217.51267521533,101702.46202275515,98158.58216761019,101641.47713647327,13245.7157
2023-04-06,101641.47713647327,103472.23193969367,101580.49225019138,103410.18582819676,11932.8564
2023-04-07,103410.18582819676,103671.35234696406,103348.13971669984,103609.18683486315,10540.0196
2023-04-10,103609.18683486315,105567.40584445487,103547.02132276223,105504.10338242543,12255.8352
2023-04-11,105504.10338242543,105848.99325645877,105440.80092039597,105785.5219432928,10831.8289
2023-04-12,105785.5219432928,106592.37171121307,105722.05063012682,106528.45463843002,11321.4849
2023-04-13,106528.45463843002,107308.44812406815,106464.53756564696,107244.10166307031,11368.4925
2023-04-14,107244.10166307031,107734.6550305085,107179.75520207247,107670.05299870927,11150.3615
2023-04-17,107670.05299870927,108176.34244940628,107605.45096691004,108111.47556406785,11208.4279
2023-04-18,108111.47556406785,108176.34244940628,107835.39091552918,107900.13099412566,10599.803
2023-04-19,107900.13099412566,108001.13932916138,107835.39091552918,107936.37750265979,10826.2596
2023-04-20,107936.37750265979,108594.71629091808,107871.61567615818,108529.598531799,11386.8588
2023-04-21,108529.598531799,109921.22578236708,108464.48077267992,109855.3125948102,12178.6739
2023-04-24,109855.3125948102,109921.22578236708,109637.24417009215,109703.06600969797,10833.2847
2023-04-25,109703.06600969797,110138.13898584282,109637.24417009215,110072.09572840578,11339.3363
2023-04-26,110072.09572840578,110353.26696768164,110006.05247096873,110287.09471085513,11222.2086
2023-04-27,110287.09471085513,110353.26696768164,109641.2962750115,109707.1205473399,10448.7353
2023-04-28,109707.1205473399,109971.21744752988,109641.2962750115,109905.27428296012,11168.8658
2023-05-04,109905.27428296012,110698.23618213633,109839.33111839034,110631.8570678956,11717.1102
2023-05-05,110631.8570678956,110698.23618213633,110214.32647808608,110280.49477495105,10711.8234
2023-05-08,110280.49477495105,110687.88003724672,110214.32647808608,110621.50713296694,11369.0618
2023-05-09,110621.50713296694,111844.3508431069,110555.13422868717,111777.28447242346,12217.9281
2023-05-10,111777.28447242346,111844.3508431069,110733.27309701085,110799.75294878012,10200.1969
2023-05-11,110799.75294878012,110866.23280054938,108613.63597355649,108678.84327952421,8959.0656
2023-05-12,108678.84327952421,108744.05058549192,106227.98770454846,106291.76276220579,8480.8038
2023-05-15,106291.76276220579,106355.53781986311,104982.59735809913,105045.6247329389,9383.0382
2023-05-16,105045.6247329389,105108.65210777866,103141.86448925584,103203.78676131263,8662.7245
2023-05-17,103203.78676131263,103265.7090333694,100637.03868252868,100697.45715682278,7814.0491
2023-05-18,100697.45715682278,100757.87563111687,99367.2690820346,99426.92523717691,8799.2138
2023-05-19,99426.92523717691,99486.5813923192,97905.0822107501,97963.86052706634,8479.6278
2023-05-22,97963.86052706634,98022.63884338258,96064.21252181118,96121.8856532031,7954.4112
2023-05-23,96121.8856532031,96179.55878459502,94110.98796602534,94167.4884591008,7657.7914
2023-05-24,94167.4884591008,94223.98895217625,92722.02748131855,92777.69409777722,8026.9545
2023-05-25,92777.69409777722,92833.36071423588,92014.09133649705,92069.33293625881,8569.4082
2023-05-26,92069.33293625881,92124.57453602056,91012.80780830437,91067.44827727073,8205.0486
2023-05-29,91067.44827727073,91223.55869992194,91012.80780830437,91168.85738549064,9208.1539
2023-05-30,91168.85738549064,91438.92328954938,91114.15607105935,91384.09283384908,9332.1212
2023-05-31,91384.09283384908,91688.47379119306,91329.26237814876,91633.49369497607,9387.8101
2023-06-01,91633.49369497607,92391.36665417616,91578.51359875909,92335.96507513108,9865.8207
2023-06-02,92335.96507513108,92564.16662556789,92280.563496086,92508.66142871066,9406.2929
2023-06-05,92508.66142871066,92564.16662556789,91940.33683775294,91995.53415824789,8737.7389
2023-06-06,91995.53415824789,92225.85438833224,91940.33683775294,92170.55205709799,9374.5713
2023-06-07,92170.55205709799,92225.85438833224,91043.95646339511,91098.61563277477,8145.1188
2023-06-08,91098.61563277477,91153.27480215444,90529.58215261572,90583.932512123,8595.1784
2023-06-09,90583.932512123,91477.29844186414,90529.58215261572,91422.44497487922,9896.9057
2023-06-12,91422.44497487922,91989.92739954415,91367.59150789429,91934.76653962038,9654.5661
2023-06-13,91934.76653962038,92219.782014425,91879.6056796966,92164.48332443034,9423.1934
2023-06-14,92164.48332443034,93009.98110138316,92109.18463443569,92954.20857623743,10006.1736
2023-06-15,92954.20857623743,94439.99861612507,92898.43605109169,94383.3685949681,10724.5809
2023-06-16,94383.3685949681,95679.46049103569,94326.7385738111,95622.08723869247,10677.0555
2023-06-19,95622.08723869247,97185.4053243944,95564.71398634925,97127.12904696623,11067.2505
2023-06-20,97127.12904696623,98373.37282680727,97068.85276953805,98314.38419628951,10899.9681
2023-06-21,98314.38419628951,98761.96094842078,98255.39556577173,98702.73930483787,10219.7935
2023-06-26,98702.73930483787,98761.96094842078,98545.74684259779,98604.90978847088,9772.4444
2023-06-27,98604.90978847088,98664.07273434395,97096.7649301827,97155.05796496168,8410.6392
2023-06-28,97155.05796496168,97213.35099974065,96264.3774145902,96322.17071702042,8882.6185
2023-06-29,96322.17071702042,96379.96401945062,95282.96307024633,95340.16717054867,8650.2135
2023-06-30,95340.16717054867,95397.37127085098,94935.37351020126,94992.3689315602,9186.2185
2023-07-03,94992.3689315602,95796.43478590382,94935.37351020126,95738.99139106918,10245.8594
2023-07-04,95738.99139106918,95796.43478590382,95400.50479278238,95457.77946045865,9292.6872
2023-07-05,95457.77946045865,95515.05412813491,94533.11664402108,94589.8705663609,8677.8691
2023-07-06,94589.8705663609,94646.6244887007,93273.06995985593,93329.06740029612,8198.1839
2023-07-07,93329.06740029612,93385.06484073629,91939.05313760306,91994.2496874155,7998.089
2023-07-10,91994.2496874155,92049.44623722795,90354.28116337657,90408.52627914406,7613.7016
2023-07-11,90408.52627914406,90462.77139491154,89050.38057742635,89103.84288315625,7736.1692
2023-07-12,89103.84288315625,89366.22689209034,89050.38057742635,89312.63930850524,9119.1807
2023-07-13,89312.63930850524,89643.05546288886,89259.05172492014,89589.30188175982,9207.9265
2023-07-14,89589.30188175982,89910.03995762816,89535.54830063076,89856.12628185905,9225.7546
2023-07-17,89856.12628185905,89910.03995762816,88842.94088666142,88896.27865385375,8025.765
2023-07-18,88896.27865385375,88949.61642104606,87725.26979624445,87777.93655817937,7771.2858
2023-07-19,87777.93655817937,87830.60332011427,85973.07306585298,86024.68787858014,7024.545
2023-07-20,86024.68787858014,86076.30269130728,85227.25206650065,85278.41911797143,7856.2
2023-07-21,85278.41911797143,85329.5861694422,83809.83201512488,83860.14810398727,7109.5709
2023-07-24,83860.14810398727,83910.46419284966,82014.12957647083,82063.36759702905,6589.2343
2023-07-25,82063.36759702905,83388.25437853867,82014.12957647083,83338.25142768206,9481.2206
2023-07-26,83338.25142768206,83388.25437853867,82876.2500548264,82926.00565822134,7921.5794
2023-07-27,82926.00565822134,82975.76126161627,82384.13875295913,82433.59891230652,7800.1938
2023-07-28,82433.59891230652,83723.51031815168,82384.13875295913,83673.30633435107,9483.0673
2023-07-31,83673.30633435107,86409.73418504541,83623.10235055046,86357.91943338538,11051.9437
2023-08-01,86357.91943338538,87341.28266925031,86306.10468172535,87288.90932365613,9566.7818
2023-08-02,87288.90932365613,87341.28266925031,86868.01740960931,86920.16951131611,8360.1511
2023-08-03,86920.16951131611,86972.3216130229,86504.9706426689,86556.90478554022,8328.7522
2023-08-04,86556.90478554022,88445.85176002682,86504.9706426689,88392.8160703846,10491.6018
2023-08-07,88392.8160703846,88507.37341076449,88339.78038074236,88454.30083026634,8900.7664
2023-08-08,88454.30083026634,88507.37341076449,87545.25993966099,87597.8186308395,7988.9479
2023-08-09,87597.8186308395,87650.37732201799,86152.08329796184,86203.80558131063,7365.7688
2023-08-10,86203.80558131063,86255.52786465941,84474.05909322071,84524.77395759527,6941.3489
2023-08-11,84524.77395759527,84575.48882196982,83656.98234538242,83707.20666938406,7634.9101
2023-08-14,83707.20666938406,83757.43099338569,82706.43878788484,82756.09244335085,7419.6064
